,street,project,marketSegment,propertyType,enBlock,tenure,annual_appreciation,noOfTransactions,initialYear,leaseCommencement,leaseRemaining
2655,HOLLAND GROVE ROAD,PARKSUITES,CCR,Apartment,False,Leasehold,-0.03565069242034879,6207,2018,2017.0,109.0
695,ELIAS TERRACE,ELIAS TERRACE,OCR,Terrace,False,Freehold,-0.03609994742893076,1400,2016,1881.0,864.0
2692,LORONG 1 REALTY PARK,PEOPLE'S GARDEN,OCR,Terrace,False,Freehold,-0.03621496219400556,2817,2016,1876.0,859.0
3556,BUKIT BATOK STREET 31,THE MADEIRA,OCR,Condominium,False,Leasehold,-0.03626949640724857,13929,2016,2000.0,83.0
2962,JALAN LOYANG BESAR,RIZ HAVEN,OCR,Apartment,False,Freehold,-0.036580346424283976,1914,2016,1938.0,868.0
2578,LEONIE HILL ROAD,OUE TWIN PEAKS,CCR,Condominium,False,Leasehold,-0.03670559596347112,59361,2016,2010.0,93.0
1407,ENG KONG PLACE,LANDED HOUSING DEVELOPMENT,RCR,Semi-detached,False,Leasehold,-0.03691415065235038,3028,2016,1992.0,75.0
2410,MING TECK PARK,MING TECK PARK,CCR,Terrace,False,Freehold,-0.03695989100710245,2830,2016,1876.0,859.0
2332,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,Condominium,False,Leasehold,-0.037000000000000005,2169,2016,2007.0,90.0
2910,YONG SIAK STREET,RESIDENTIAL APARTMENTS,RCR,Apartment,False,Freehold,-0.037281861448968744,454,2018,1963.0,9944.0
946,HANDY ROAD,HAUS ON HANDY,CCR,Condominium,False,Leasehold,-0.03817841226167413,9120,2019,2018.0,98.0
2736,POH HUAT TERRACE,PRINCETON VALE,OCR,Terrace,False,Leasehold,-0.039032405899875784,2336,2016,1996.0,79.0
827,JALAN ASAS,FUYONG ESTATE,OCR,Semi-detached,False,Leasehold,-0.039203305519897313,2121,2016,1947.0,30.0
2393,ALMOND AVENUE,MICHAELS' RESIDENCES,OCR,Semi-detached,False,Leasehold,-0.03997113815772858,2625,2017,2012.0,94.0
613,DUCHESS AVENUE,DUCHESS ROYALE,CCR,Apartment,False,Freehold,-0.04028761763772873,719,2018,1875.0,856.0
1356,COVE WAY,LANDED HOUSING DEVELOPMENT,CCR,Detached,False,Leasehold,-0.04084016236501496,470,2016,2007.0,90.0
2417,JERVOIS ROAD,MON JERVOIS,CCR,Condominium,False,Leasehold,-0.04159911309674827,10826,2016,2012.0,95.0
1872,LORONG TANGGAM,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,-0.04458338484483704,1184,2017,1879.0,861.0
852,GERALD DRIVE,GERALD RESIDENCE,OCR,Terrace,False,Freehold,-0.046017536084070644,702,2017,1879.0,861.0
1370,DIX ROAD,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,-0.04775237261944285,942,2016,1876.0,859.0
2961,JIAK KIM STREET,RIVIERE,RCR,Apartment,False,Leasehold,-0.04982852163241536,32563,2019,2018.0,98.0
2439,MOUNT SINAI LANE,MOUNT SINAI RESIDENCES,CCR,Strata Detached,False,Freehold,-0.050171472240840176,1210,2016,1885.0,868.0
2786,SIXTH AVENUE,REGENT VILLAS,CCR,Terrace,False,Leasehold,-0.05266723895264515,3073,2016,1991.0,74.0
1766,KIM YAM ROAD,LANDED HOUSING DEVELOPMENT,CCR,Terrace,False,Leasehold,-0.052781278805094124,1396,2016,1996.0,79.0
670,EASTWOOD GREEN,EASTWOOD PARK,OCR,Terrace,False,Leasehold,-0.053636897268156285,1649,2017,1995.0,77.0
2841,JALAN MAS PUTEH,RESIDENTIAL APARTMENTS,OCR,Apartment,False,Freehold,-0.05490196078431375,476,2016,1968.0,951.0
877,BEACH ROAD,GOLDEN MILE COMPLEX,CCR,Apartment,False,Leasehold,-0.055307370980503597,715,2017,1969.0,51.0
1500,HILLSIDE DRIVE,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,-0.056176319835981536,2570,2016,1876.0,859.0
1970,PARK VALE,LANDED HOUSING DEVELOPMENT,CCR,Detached,False,Freehold,-0.05618569828481976,474,2017,1874.0,856.0
